,LINK ID,ITS LINK ID,도로등급,연장(km),도로명,권역,혼잡빈도강도,혼잡시간강도,혼잡기대강도
209,7106927,"2550115400,2550115900",시군도,3.439,설악산로,강원도  속초시,2.0,7.0,68.0
210,7107478,2550033900,고속도로,0.198,동해고속도로(삼척속초),강원도  속초시,99.0,100.0,46.0
211,7107479,2550034000,고속도로,0.157,동해고속도로(삼척속초),강원도  속초시,100.0,100.0,55.0
212,7107480,"255,003,420,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",고속도로,8.618,동해고속도로(삼척속초),강원도  속초시,18.0,22.0,36.0
213,7107480,"2550034200,2550034400,2550034600,2550037000,2550038100,2670183500",고속도로,8.618,동해고속도로(삼척속초),강원도  속초시,20.0,23.0,34.0
214,7107481,"255,003,430,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",고속도로,8.646,동해고속도로(삼척속초),강원도  속초시,20.0,24.0,34.0
215,7107481,"2550034300,2550034500,2550034700,2550037100,2550038200,2670183600",고속도로,8.646,동해고속도로(삼척속초),강원도  속초시,23.0,26.0,32.0
216,7107496,"25,501,153,002,550,100,000",시군도,3.439,설악산로,강원도  속초시,2.0,7.0,73.0
217,7107496,"2550115300,2550116000",시군도,3.439,설악산로,강원도  속초시,3.0,7.0,73.0
218,7107497,"25,501,126,002,550,100,000",시군도,6.867,설악산로,강원도  속초시,7.0,28.0,75.0
219,7107497,"2550112600,2550113800",시군도,6.867,설악산로,강원도  속초시,6.0,21.0,76.0
220,7108786,"26,600,155,002,660,000,000",국가지원지방도,0.326,미시령로,강원도  고성군,64.0,79.0,49.0
221,7108786,"2660015500,2660016000",국가지원지방도,0.326,미시령로,강원도  고성군,66.0,82.0,49.0
222,7109241,"2660015600,2660015900",국가지원지방도,0.327,미시령로,강원도  고성군,70.0,83.0,46.0
223,7109260,"266,011,730,026,601,000,000,000,000,000",일반국도,1.143,동해대로,강원도  고성군,41.0,48.0,34.0
224,7109260,"2660117300,2660117700,2660118300",일반국도,1.143,동해대로,강원도  고성군,40.0,47.0,33.0
225,7109261,2660117400,일반국도,4.244,동해대로,강원도  고성군,72.5,78.0,50.0
226,7109262,"266,011,740,026,601,000,000,000,000,000",일반국도,1.14,동해대로,강원도  고성군,39.0,46.0,33.0
